year,price,origin,destination,distance
"Dec
2020",62.48,BWI,BOS,369
"Dec
2020",65.87,BWI,BOS,369
"Dec
2020",76.18,BWI,BOS,369
"Dec
2020",64.18,BWI,BOS,369
"Dec
2020",65.87,BWI,BOS,369
"Feb
2021",77.97,BWI,BOS,369
"Feb
2021",79.39,BWI,BOS,369
"Feb
2021",59.6,BWI,BOS,369
"Mar
2021",68.38,BWI,BOS,369
"Apr
2021",80.77,BWI,BOS,369
"Apr
2021",99.36,BWI,BOS,369
"Apr
2021",312.74,BWI,BOS,369
"May
2021",312.74,BWI,BOS,369
"May
2021",52.89,BWI,BOS,369
"May
2021",85.18,BWI,BOS,369
"Jun
2021",277.74,BWI,BOS,369
"Jun
2021",68.38,BWI,BOS,369
"Jun
2021",205.94,BWI,BOS,369
"Jul
2021",85.18,BWI,BOS,369
"Jul
2021",148.76,BWI,BOS,369
"Aug
2021",113.54,BWI,BOS,369
"Aug
2021",225.74,BWI,BOS,369
"Aug
2021",119.82,BWI,BOS,369
"Sep
2021",217.94,BWI,BOS,369
"Oct
2021",146.78,BWI,BOS,369
year,price,origin,destination,distance
"Nov
2020",54.68,BWI,CLT,361
"Nov
2020",105.66,BWI,CLT,361
"Nov
2020",159.17,BWI,CLT,361
"Dec
2020",82.17,BWI,CLT,361
"Dec
2020",52.89,BWI,CLT,361
"Dec
2020",74.68,BWI,CLT,361
"Dec
2020",54.68,BWI,CLT,361
"Jan
2021",42.68,BWI,CLT,361
"Jan
2021",42.68,BWI,CLT,361
"Jan
2021",3233.32,BWI,CLT,361
"Jan
2021",49.66,BWI,CLT,361
"Feb
2021",50.17,BWI,CLT,361
"Feb
2021",44.05,BWI,CLT,361
"Feb
2021",91.09,BWI,CLT,361
"Mar
2021",57.09,BWI,CLT,361
"Mar
2021",68.89,BWI,CLT,361
"Apr
2021",51.39,BWI,CLT,361
"Apr
2021",208.94,BWI,CLT,361
"May
2021",108.08,BWI,CLT,361
"May
2021",66.88,BWI,CLT,361
"May
2021",148.89,BWI,CLT,361
"May
2021",240.86,BWI,CLT,361
"May
2021",230.86,BWI,CLT,361
"Jun
2021",107.07,BWI,CLT,361
"Jun
2021",230.24,BWI,CLT,361
"Jul
2021",261.86,BWI,CLT,361
"Jul
2021",199.87,BWI,CLT,361
"Aug
2021",168.36,BWI,CLT,361
"Aug
2021",146.87,BWI,CLT,361
"Aug
2021",234.85,BWI,CLT,361
"Aug
2021",84.89,BWI,CLT,361
"Aug
2021",148.07,BWI,CLT,361
year,price,origin,destination,distance
"Feb
2021",1168.41,BWI,DAL,1209
year,price,origin,destination,distance
"Aug
2009",452.4,BWI,DCA,30
year,price,origin,destination,distance
"Nov
2020",74.58,BWI,DEN,1491
"Dec
2020",76.58,BWI,DEN,1491
"Dec
2020",221.7,BWI,DEN,1491
"Jan
2021",142.28,BWI,DEN,1491
"Jan
2021",102.07,BWI,DEN,1491
"Feb
2021",84.67,BWI,DEN,1491
"Feb
2021",124.66,BWI,DEN,1491
"Mar
2021",224.59,BWI,DEN,1491
"Mar
2021",63.99,BWI,DEN,1491
"Apr
2021",83.47,BWI,DEN,1491
"Jun
2021",226.74,BWI,DEN,1491
"Jul
2021",200.78,BWI,DEN,1491
"Jul
2021",200.78,BWI,DEN,1491
"Jul
2021",248.74,BWI,DEN,1491
"Aug
2021",173.75,BWI,DEN,1491
"Sep
2021",134.59,BWI,DEN,1491
"Oct
2021",268.36,BWI,DEN,1491
