year,price,origin,destination,distance
"Jul
2021",406.99,BOS,LAS,2381
"Sep
2021",181.97,BOS,LAS,2381
"Sep
2021",160.79,BOS,LAS,2381
"Sep
2021",160.79,BOS,LAS,2381
year,price,origin,destination,distance
"Nov
2020",256.2,BOS,LAX,2611
"Nov
2020",198.7,BOS,LAX,2611
"Nov
2020",197.16,BOS,LAX,2611
"Nov
2020",330.7,BOS,LAX,2611
"Dec
2020",165.16,BOS,LAX,2611
"Dec
2020",240.16,BOS,LAX,2611
"Dec
2020",187.16,BOS,LAX,2611
"Dec
2020",625.16,BOS,LAX,2611
"Dec
2020",159.16,BOS,LAX,2611
"Jan
2021",108.16,BOS,LAX,2611
"Jan
2021",101.16,BOS,LAX,2611
"Jan
2021",138.38,BOS,LAX,2611
"Feb
2021",106.39,BOS,LAX,2611
"Feb
2021",179.16,BOS,LAX,2611
"Feb
2021",122.38,BOS,LAX,2611
"Feb
2021",165.38,BOS,LAX,2611
"Mar
2021",283.39,BOS,LAX,2611
"Mar
2021",117.38,BOS,LAX,2611
"Mar
2021",295.37,BOS,LAX,2611
"Mar
2021",260.37,BOS,LAX,2611
"Mar
2021",226.36,BOS,LAX,2611
"Apr
2021",256.99,BOS,LAX,2611
"May
2021",82.48,BOS,LAX,2611
"May
2021",79.14,BOS,LAX,2611
"Jun
2021",338.38,BOS,LAX,2611
"Jun
2021",393.98,BOS,LAX,2611
"Jul
2021",413.99,BOS,LAX,2611
"Jul
2021",418.35,BOS,LAX,2611
"Jul
2021",303.95,BOS,LAX,2611
"Aug
2021",704.41,BOS,LAX,2611
"Aug
2021",350.37,BOS,LAX,2611
"Sep
2021",351.56,BOS,LAX,2611
year,price,origin,destination,distance
"Nov
2020",132.2,BOS,LGA,184
"Nov
2020",126.67,BOS,LGA,184
"Nov
2020",98.2,BOS,LGA,184
"Dec
2020",216.2,BOS,LGA,184
"Mar
2021",152.57,BOS,LGA,184
year,price,origin,destination,distance
"Nov
2020",95.2,BOS,MCO,1121
"Nov
2020",90.18,BOS,MCO,1121
"Nov
2020",55.19,BOS,MCO,1121
"Dec
2020",44.18,BOS,MCO,1121
"Dec
2020",70.18,BOS,MCO,1121
"Dec
2020",44.18,BOS,MCO,1121
"Jan
2021",36.18,BOS,MCO,1121
"Jan
2021",36.18,BOS,MCO,1121
"Feb
2021",53.55,BOS,MCO,1121
"Feb
2021",36.18,BOS,MCO,1121
"Feb
2021",40.8,BOS,MCO,1121
"Feb
2021",45.8,BOS,MCO,1121
"Mar
2021",55.79,BOS,MCO,1121
"Mar
2021",65.79,BOS,MCO,1121
"Mar
2021",47.8,BOS,MCO,1121
"Apr
2021",64.48,BOS,MCO,1121
"Apr
2021",502.8,BOS,MCO,1121
"May
2021",161.77,BOS,MCO,1121
"Jun
2021",119.98,BOS,MCO,1121
"Jul
2021",189.95,BOS,MCO,1121
"Jul
2021",164.79,BOS,MCO,1121
"Aug
2021",213,BOS,MCO,1121
"Aug
2021",148.67,BOS,MCO,1121
"Sep
2021",147.42,BOS,MCO,1121
"Oct
2021",73.08,BOS,MCO,1121
year,price,origin,destiantion,distance
"Nov
2020",479.54,BOS,MIA,1258
"Dec
2020",612.4,BOS,MIA,1258
"Jan
2021",57.2,BOS,MIA,1258
