year,price,,,
"Mar
2021",60.98,ATL,EWR,746
"Apr
2021",78.8,ATL,EWR,746
"May
2021",107.79,ATL,EWR,746
"May
2021",76,ATL,EWR,746
"Jun
2021",223.81,ATL,EWR,746
"Jun
2021",176.78,ATL,EWR,746
"Jun
2021",189.3,ATL,EWR,746
"Aug
2021",172.97,ATL,EWR,746
"Aug
2021",126.05,ATL,EWR,746
year,price,,,
"Nov
2020",76.18,ATL,FLL,581
"Dec
2020",52.18,ATL,FLL,581
"Dec
2020",70.2,ATL,FLL,581
"Dec
2020",112.18,ATL,FLL,581
"Jan
2021",73.18,ATL,FLL,581
"Jan
2021",104.18,ATL,FLL,581
"Jan
2021",40.18,ATL,FLL,581
"Jan
2021",61.54,ATL,FLL,581
"Feb
2021",53.79,ATL,FLL,581
"Feb
2021",91.84,ATL,FLL,581
"Feb
2021",60.79,ATL,FLL,581
"Feb
2021",91.78,ATL,FLL,581
"Mar
2021",91.84,ATL,FLL,581
"Mar
2021",42.8,ATL,FLL,581
"Mar
2021",104.78,ATL,FLL,581
"Mar
2021",68.79,ATL,FLL,581
"Mar
2021",47.8,ATL,FLL,581
"Apr
2021",47.8,ATL,FLL,581
"Apr
2021",44.8,ATL,FLL,581
"May
2021",47.8,ATL,FLL,581
"May
2021",68.79,ATL,FLL,581
"May
2021",48.8,ATL,FLL,581
"Jun
2021",99.36,ATL,FLL,581
"Jun
2021",105.16,ATL,FLL,581
"Jul
2021",123.54,ATL,FLL,581
"Jul
2021",113.54,ATL,FLL,581
"Jul
2021",85.18,ATL,FLL,581
"Aug
2021",111.77,ATL,FLL,581
"Aug
2021",85.18,ATL,FLL,581
"Oct
2021",44.8,ATL,FLL,581
year,price,,,
"Dec
2020",140.59,ATL,IAD,534
year,price,,,
"Nov
2020",83.98,ATL,IAH,689
"Nov
2020",101.39,ATL,IAH,689
"Nov
2020",175.26,ATL,IAH,689
"Dec
2020",119.48,ATL,IAH,689
"Jan
2021",132.67,ATL,IAH,689
"Jan
2021",61.54,ATL,IAH,689
"Feb
2021",88.18,ATL,IAH,689
"Feb
2021",54.79,ATL,IAH,689
"Mar
2021",70.59,ATL,IAH,689
"Mar
2021",332.18,ATL,IAH,689
"Mar
2021",60.98,ATL,IAH,689
"May
2021",49.8,ATL,IAH,689
"Jun
2021",110.98,ATL,IAH,689
"Jun
2021",263.28,ATL,IAH,689
"Jun
2021",136.78,ATL,IAH,689
"Jul
2021",178.07,ATL,IAH,689
"Jul
2021",132.78,ATL,IAH,689
"Aug
2021",112.78,ATL,IAH,689
"Aug
2021",97.78,ATL,IAH,689
"Oct
2021",82.58,ATL,IAH,689
year,price,,,
"Nov
2020",210.71,ATL,JFK,760
"Nov
2020",116.2,ATL,JFK,760
"Dec
2020",109.2,ATL,JFK,760
year,price,,,
"Nov
2020",147.56,ATL,LAS,1747
"Nov
2020",99.98,ATL,LAS,1747
"Jan
2021",119.19,ATL,LAS,1747
"Jan
2021",68.1,ATL,LAS,1747
"Jan
2021",73,ATL,LAS,1747
"Feb
2021",142.91,ATL,LAS,1747
"Mar
2021",84.39,ATL,LAS,1747
"Mar
2021",52.32,ATL,LAS,1747
"Apr
2021",54.59,ATL,LAS,1747
"Apr
2021",44.08,ATL,LAS,1747
"May
2021",85.18,ATL,LAS,1747
"Jun
2021",222.67,ATL,LAS,1747
"Jun
2021",192.36,ATL,LAS,1747
"Jul
2021",249.97,ATL,LAS,1747
"Aug
2021",127.67,ATL,LAS,1747
year,price,,,
"Nov
2020",145.67,ATL,LAX,1946
"Nov
2020",125.67,ATL,LAX,1946
"Nov
2020",155.67,ATL,LAX,1946
"Dec
2020",117.16,ATL,LAX,1946
"Dec
2020",114.18,ATL,LAX,1946
"Dec
2020",114.18,ATL,LAX,1946
"Jan
2021",84.18,ATL,LAX,1946
"Jan
2021",134.18,ATL,LAX,1946
"Feb
2021",76.18,ATL,LAX,1946
"Feb
2021",76.18,ATL,LAX,1946
"Feb
2021",72.98,ATL,LAX,1946
"Mar
2021",84.59,ATL,LAX,1946
"Apr
2021",135.24,ATL,LAX,1946
"Apr
2021",65.79,ATL,LAX,1946
"May
2021",205.56,ATL,LAX,1946
"May
2021",220.32,ATL,LAX,1946
"Jun
2021",160.78,ATL,LAX,1946
"Jul
2021",210.56,ATL,LAX,1946
"Jul
2021",150.78,ATL,LAX,1946
"Aug
2021",106.19,ATL,LAX,1946
"Sep
2021",81.98,ATL,LAX,1946
"Oct
2021",184.36,ATL,LAX,1946
"Oct
2021",85.18,ATL,LAX,1946
year,price,,,
"Nov
2020",172.67,ATL,LGA,762
"Nov
2020",118.67,ATL,LGA,762
"Dec
2020",81.98,ATL,LGA,762
"Jan
2021",94.2,ATL,LGA,762
"Jan
2021",83.2,ATL,LGA,762
"Jan
2021",70.67,ATL,LGA,762
"Feb
2021",83.2,ATL,LGA,762
"Mar
2021",104.87,ATL,LGA,762
"Apr
2021",91.31,ATL,LGA,762
"May
2021",108.4,ATL,LGA,762
"May
2021",108.4,ATL,LGA,762
"Jun
2021",155.74,ATL,LGA,762
"Jun
2021",214.81,ATL,LGA,762
"Jun
2021",243.57,ATL,LGA,762
"Jul
2021",196.84,ATL,LGA,762
"Jul
2021",219.97,ATL,LGA,762
"Aug
2021",194.04,ATL,LGA,762
"Aug
2021",136.67,ATL,LGA,762
"Oct
2021",78.4,ATL,LGA,762
year,price,,,
"Nov
2020",76.58,ATL,MCO,404
"Dec
2020",53.39,ATL,MCO,404
"Dec
2020",76.58,ATL,MCO,404
"Dec
2020",44.29,ATL,MCO,404
"Jan
2021",33.2,ATL,MCO,404
"Jan
2021",45.55,ATL,MCO,404
"Jan
2021",49.2,ATL,MCO,404
"Feb
2021",81.97,ATL,MCO,404
"Mar
2021",41.8,ATL,MCO,404
"Mar
2021",84.8,ATL,MCO,404
"Mar
2021",84.8,ATL,MCO,404
"Apr
2021",52.32,ATL,MCO,404
"May
2021",63.99,ATL,MCO,404
"Jun
2021",164.71,ATL,MCO,404
"Jul
2021",129.97,ATL,MCO,404
"Jul
2021",113.54,ATL,MCO,404
"Aug
2021",85.18,ATL,MCO,404
"Aug
2021",106.81,ATL,MCO,404
"Sep
2021",96.02,ATL,MCO,404
"Oct
2021",55.79,ATL,MCO,404
year,price,,,
"Dec
2020",68.2,ATL,MIA,594
"Dec
2020",197.2,ATL,MIA,594
"Jan
2021",205.2,ATL,MIA,594
"Jan
2021",59.7,ATL,MIA,594
"Feb
2021",65.79,ATL,MIA,594
"Feb
2021",65.79,ATL,MIA,594
"Mar
2021",210.7,ATL,MIA,594
"Mar
2021",74.79,ATL,MIA,594
"Apr
2021",148.8,ATL,MIA,594
"Apr
2021",57.2,ATL,MIA,594
"May
2021",145.8,ATL,MIA,594
"May
2021",176.81,ATL,MIA,594
"May
2021",120.8,ATL,MIA,594
"Jun
2021",186.8,ATL,MIA,594
"Jun
2021",266.81,ATL,MIA,594
"Jun
2021",209.96,ATL,MIA,594
"Jun
2021",129.97,ATL,MIA,594
"Jul
2021",249.97,ATL,MIA,594
"Jul
2021",169.99,ATL,MIA,594
"Aug
2021",169.97,ATL,MIA,594
"Aug
2021",109.98,ATL,MIA,594
year,price,,,
"Nov
2020",169.58,ATL,MSP,907
"Dec
2020",110,ATL,MSP,907
"Dec
2020",112.18,ATL,MSP,907
"Jan
2021",112.18,ATL,MSP,907
"Jan
2021",67.29,ATL,MSP,907
"Jan
2021",85.18,ATL,MSP,907
"Feb
2021",94.18,ATL,MSP,907
"Feb
2021",76,ATL,MSP,907
"Mar
2021",80.59,ATL,MSP,907
"Mar
2021",99.36,ATL,MSP,907
"Apr
2021",78,ATL,MSP,907
"Apr
2021",80,ATL,MSP,907
"Jun
2021",140.77,ATL,MSP,907
"Jun
2021",174.77,ATL,MSP,907
"Jul
2021",164.78,ATL,MSP,907
"Aug
2021",196.04,ATL,MSP,907
"Aug
2021",143.57,ATL,MSP,907
"Aug
2021",191.77,ATL,MSP,907
year,price,,,
"Nov
2020",50.38,ATL,ORD,606
